INFO     | 2020-05-12 13:53:33,661 | analysis_m |       Measuring the similarity of 35245 subset pairs
INFO     | 2020-05-12 13:53:33,664 | analysis_m |       Choosing the 3525 most similar subset pairs
INFO     | 2020-05-12 13:53:33,704 | analysis_m |       Analysing 9 new subset pairs
INFO     | 2020-05-12 13:53:36,852 | progress   |       Finished subset 1/9, 11.11 percent done
INFO     | 2020-05-12 13:53:36,944 | progress   |       Finished subset 2/9, 22.22 percent done
INFO     | 2020-05-12 13:53:37,033 | progress   |       Finished subset 3/9, 33.33 percent done
INFO     | 2020-05-12 13:53:37,128 | progress   |       Finished subset 4/9, 44.44 percent done
INFO     | 2020-05-12 13:53:37,456 | progress   |       Finished subset 5/9, 55.56 percent done
INFO     | 2020-05-12 13:53:37,585 | progress   |       Finished subset 6/9, 66.67 percent done
INFO     | 2020-05-12 13:53:37,641 | progress   |       Finished subset 7/9, 77.78 percent done
INFO     | 2020-05-12 13:53:38,123 | progress   |       Finished subset 8/9, 88.89 percent done
INFO     | 2020-05-12 13:53:39,075 | progress   |       Finished subset 9/9, 100.00 percent done
INFO     | 2020-05-12 13:53:39,076 | analysis_m |       Finding the best partitioning scheme
INFO     | 2020-05-12 13:53:39,225 | analysis_m |       Combining subsets: 'EOG090C0BJH_1' and 'EOG090C0DZR_1'
INFO     | 2020-05-12 13:53:39,229 | analysis_m |       The best scheme has 265 subsets and improves the aic score by 10.11 to 1829470.6
INFO     | 2020-05-12 13:53:39,256 | analysis_m |    *** Relaxed clustering algorithm step 136 of up to 399 ***
INFO     | 2020-05-12 13:53:39,257 | analysis_m |       Measuring the similarity of 34980 subset pairs
INFO     | 2020-05-12 13:53:39,261 | analysis_m |       Choosing the 3498 most similar subset pairs
INFO     | 2020-05-12 13:53:39,302 | analysis_m |       Analysing 34 new subset pairs
INFO     | 2020-05-12 13:53:40,821 | progress   |       Finished subset 1/34, 2.94 percent done
INFO     | 2020-05-12 13:53:40,931 | progress   |       Finished subset 2/34, 5.88 percent done
INFO     | 2020-05-12 13:53:41,054 | progress   |       Finished subset 3/34, 8.82 percent done
INFO     | 2020-05-12 13:53:41,181 | progress   |       Finished subset 4/34, 11.76 percent done
INFO     | 2020-05-12 13:53:41,428 | progress   |       Finished subset 5/34, 14.71 percent done
INFO     | 2020-05-12 13:53:41,540 | progress   |       Finished subset 6/34, 17.65 percent done
INFO     | 2020-05-12 13:53:41,657 | progress   |       Finished subset 7/34, 20.59 percent done
INFO     | 2020-05-12 13:53:41,747 | progress   |       Finished subset 8/34, 23.53 percent done
INFO     | 2020-05-12 13:53:41,921 | progress   |       Finished subset 9/34, 26.47 percent done
INFO     | 2020-05-12 13:53:42,130 | progress   |       Finished subset 10/34, 29.41 percent done
INFO     | 2020-05-12 13:53:42,216 | progress   |       Finished subset 11/34, 32.35 percent done
INFO     | 2020-05-12 13:53:42,329 | progress   |       Finished subset 12/34, 35.29 percent done
INFO     | 2020-05-12 13:53:42,670 | progress   |       Finished subset 13/34, 38.24 percent done
INFO     | 2020-05-12 13:53:43,760 | progress   |       Finished subset 14/34, 41.18 percent done
INFO     | 2020-05-12 13:53:43,850 | progress   |       Finished subset 15/34, 44.12 percent done
INFO     | 2020-05-12 13:53:43,938 | progress   |       Finished subset 16/34, 47.06 percent done
INFO     | 2020-05-12 13:53:44,028 | progress   |       Finished subset 17/34, 50.00 percent done
INFO     | 2020-05-12 13:53:44,281 | progress   |       Finished subset 18/34, 52.94 percent done
INFO     | 2020-05-12 13:53:44,365 | progress   |       Finished subset 19/34, 55.88 percent done
INFO     | 2020-05-12 13:53:44,449 | progress   |       Finished subset 20/34, 58.82 percent done
INFO     | 2020-05-12 13:53:44,558 | progress   |       Finished subset 21/34, 61.76 percent done
INFO     | 2020-05-12 13:53:44,774 | progress   |       Finished subset 22/34, 64.71 percent done
INFO     | 2020-05-12 13:53:44,918 | progress   |       Finished subset 23/34, 67.65 percent done
INFO     | 2020-05-12 13:53:45,011 | progress   |       Finished subset 24/34, 70.59 percent done
INFO     | 2020-05-12 13:53:45,132 | progress   |       Finished subset 25/34, 73.53 percent done
INFO     | 2020-05-12 13:53:45,243 | progress   |       Finished subset 26/34, 76.47 percent done
INFO     | 2020-05-12 13:53:45,340 | progress   |       Finished subset 27/34, 79.41 percent done
INFO     | 2020-05-12 13:53:45,466 | progress   |       Finished subset 28/34, 82.35 percent done
INFO     | 2020-05-12 13:53:45,556 | progress   |       Finished subset 29/34, 85.29 percent done
INFO     | 2020-05-12 13:53:45,693 | progress   |       Finished subset 30/34, 88.24 percent done
INFO     | 2020-05-12 13:53:45,795 | progress   |       Finished subset 31/34, 91.18 percent done
INFO     | 2020-05-12 13:53:45,853 | progress   |       Finished subset 32/34, 94.12 percent done
INFO     | 2020-05-12 13:53:45,943 | progress   |       Finished subset 33/34, 97.06 percent done
INFO     | 2020-05-12 13:53:46,125 | progress   |       Finished subset 34/34, 100.00 percent done
INFO     | 2020-05-12 13:53:46,126 | analysis_m |       Finding the best partitioning scheme
INFO     | 2020-05-12 13:53:46,644 | analysis_m |       Combining subsets: 'EOG090C09HK_2' and 'EOG090C05LN_2'
INFO     | 2020-05-12 13:53:46,648 | analysis_m |       The best scheme has 264 subsets and improves the aic score by 10.02 to 1829460.6
INFO     | 2020-05-12 13:53:46,663 | analysis_m |    *** Relaxed clustering algorithm step 137 of up to 399 ***
INFO     | 2020-05-12 13:53:46,664 | analysis_m |       Measuring the similarity of 34716 subset pairs
INFO     | 2020-05-12 13:53:46,668 | analysis_m |       Choosing the 3472 most similar subset pairs
INFO     | 2020-05-12 13:53:46,705 | analysis_m |       Analysing 40 new subset pairs
INFO     | 2020-05-12 13:53:48,449 | progress   |       Finished subset 1/40, 2.50 percent done
INFO     | 2020-05-12 13:53:48,552 | progress   |       Finished subset 2/40, 5.00 percent done
INFO     | 2020-05-12 13:53:48,633 | progress   |       Finished subset 3/40, 7.50 percent done
INFO     | 2020-05-12 13:53:48,712 | progress   |       Finished subset 4/40, 10.00 percent done
INFO     | 2020-05-12 13:53:49,208 | progress   |       Finished subset 5/40, 12.50 percent done
INFO     | 2020-05-12 13:53:49,299 | progress   |       Finished subset 6/40, 15.00 percent done
INFO     | 2020-05-12 13:53:49,390 | progress   |       Finished subset 7/40, 17.50 percent done
INFO     | 2020-05-12 13:53:49,468 | progress   |       Finished subset 8/40, 20.00 percent done
INFO     | 2020-05-12 13:53:49,826 | progress   |       Finished subset 9/40, 22.50 percent done
INFO     | 2020-05-12 13:53:49,907 | progress   |       Finished subset 10/40, 25.00 percent done
INFO     | 2020-05-12 13:53:50,065 | progress   |       Finished subset 11/40, 27.50 percent done
INFO     | 2020-05-12 13:53:50,174 | progress   |       Finished subset 12/40, 30.00 percent done
INFO     | 2020-05-12 13:53:50,447 | progress   |       Finished subset 13/40, 32.50 percent done
INFO     | 2020-05-12 13:53:50,569 | progress   |       Finished subset 14/40, 35.00 percent done
INFO     | 2020-05-12 13:53:50,942 | progress   |       Finished subset 15/40, 37.50 percent done
INFO     | 2020-05-12 13:53:51,039 | progress   |       Finished subset 16/40, 40.00 percent done
INFO     | 2020-05-12 13:53:51,275 | progress   |       Finished subset 17/40, 42.50 percent done
INFO     | 2020-05-12 13:53:51,527 | progress   |       Finished subset 18/40, 45.00 percent done
INFO     | 2020-05-12 13:53:51,612 | progress   |       Finished subset 19/40, 47.50 percent done
